"Timestamp","Age (in whole years)","Gender","Please write as many words as you can beginning with the letter ""A"".","Please write down as many different types of animal as you can.","Please write down as many swear words as you can."
"2022/10/06 5:55:46 pm CET","30","Man","And also are again all about apple add accept already another arrive","Tiger cat dog mouse pig horse sheep chicken ","Fuck "
"2022/10/06 6:11:44 pm CET","21","Nonbinary","Alabaster
Arctic
Angry
Any
Ant 
Anthropology 
Article
Artist
Art
Artful
Awful
Awesome 
Antiquated
Antique
Alderman ","Cat dog rabbit frog horse cow sheep tortoise turtle shark crocodile alligator snake rat mouse shrew shrimp octopus jellyfish whale dolphin lizard ","Fuck shit cunt ass asshole dick motherfucker fuckery mierda "
"2022/10/06 6:11:45 pm CET","24","Nonbinary","arse arsehole artichoke anus anal amalgamation
amalgam antidote auntie asophagus asparagus asperger's antimony antigone astral anusil agamemnon","bird shark snail frog beaver snake spider squirrel horse bayhorse turtle tortoise umbrellabird human lion tiger bear(ohmy) newt salamander amoeba ","fuck shit piss cunt bloody buggar crap shite arse dick crud toss wank tossed wanker cock fanny pussy"
"2022/10/06 6:11:45 pm CET","18","Woman","Ass Apple Asshole Arc Ant Anteater Anthropology Allow Arctic Anti Android Alien Album Art Anchor Allow Award Anticipation Antibody ","Cat Dog Tiger Elephant Ant Fish Bird Cow Horse Chicken Pig Goat Rooster Octopus squid whale lion bear squirrel fox penguin ","Fuck Shit Bitch Cunt Whore Ass Dammit Slut Dick "
"2022/10/06 6:11:45 pm CET","22","Woman","Asshole, apple, Ananas, alphabet, alpaca, animal, antibiotics, anti-discrimination, ","Dog, cat, horse, donkey, lion, zebra, bird, fish, duck, chicken, cow, sheep, goose, shrimp, hamster, rabbit, mouse, rat, ","Asshole, cunt, fuck, shit, bastard, shitface, dumbass, jerk, "
"2022/10/06 6:11:45 pm CET","19","Nonbinary","Alphabet alpha apple access affinity asterisk anal anonymous argument affable alladin arm armpit ass assessment ","moose cow beaver wolf coyote squirrel ant anteater llama horse otter turtle fish deer mouse lynx capybera duck snake ","cunt shit hell asshole fuck twat mong bellend prick "
"2022/10/06 6:11:45 pm CET","25","Man","Alpha apple anagram all a ankle anger angry angered antelope aggressive aggregate again actually able ass arse","Antelopelioncatgoatoctopusanglerfishdolphinnarwhalgoldfishant","Cuntbastardbitchfuckfrigshitwankerbiatchfucker"
"2022/10/06 6:11:45 pm CET","22","Man","Asshole
Arsehole
Amazing
Astonishing 
Abroad
Ask 
Aplastic 
Asexual
Afraid ","Lion
Tiger
Cat
Dog
Raccoon
Snake
Lizard
Crocodile
Fish
Kangaroo","Arsehole
Asshole
Fuck
Fucktards
Fucksake
Cunt
Pussy
Motherfucker
Sisterfucker
Slut
"
"2022/10/06 6:11:46 pm CET","20","Woman","Arm
Ass
Arse
Arsehole
Asshole
Any 
Ant 
America 
Arthritis 
Antibiotics 
Attention 
Allowance ","Ant
Cat
Dog
Tiger 
Lion 
Giraffe 
Horse 
Donkey 
Pig
Dolphin 
Fish 
Shark
Spider
Snake
Pigeon 
Eagle 
Parrot 
Mice
Rat ","Cunt 
Fuck 
Shit 
Bullshit 
Arsehole 
Dipshit
Asshole 
Bullshit Fuckinghell
Hell 
Twat"
"2022/10/06 6:11:46 pm CET","23","Woman","Asshole, arse, arsenal, armed, American, Asap,  ","Tiger, lion, dog, cat, ant, beaver, bongo, deer, giraffe, elephant, zebra, mouse, gerbil, horse, pony, fly, beetle, butterfly ","Arse, twat, ass, asshole, cunt, bitch, fucker, bastard, sonofabitch, fuckhead, shithead"
"2022/10/06 6:11:46 pm CET","20","Nonbinary","apple, ass, arbitrary, art, arch, arc, adrift, adjacent, artful, amble, amp, alternative, agree, agreement, anger, aggression","ant, aardvaark, antelope","ass, arsehole, asshole, arse, ahole, angstybitch"
"2022/10/06 6:11:46 pm CET","21","Woman","Apricot, Ant, Ask, Ass, Ale, Arm, Artificial, Artichoke, Absent, Absolute, alter, after","Hippo, cow, cat, dog, giraffe, monkey, donkey, horse, rabbit, mouse, pig, sheep, whale, dolphin, lemur, possum, duckbilledplatypus, manatee, wombat, cricket, ","Fuck, shit, cunt, bitch, twat, ass, arsehole, fanny"
"2022/10/06 6:11:46 pm CET","21","Woman","Ass asshole asshat ","Cat dog fish bird ant crocodile rabbit lion zebras shark whale octopus tucán lizard bunny ","Thundercunt asshole jackass bitch dyke fag motherfucker fuck shit cunt dick ass "
"2022/10/06 6:11:46 pm CET","24","Woman","Apple, ass, asymmetry, asexual, accomplished, accomplishment, adequate, appropriate, annonymous, around, away, aloud, allowed, able, ability","Dog, cat, rabbit, snail, sloth, donkey, horse, goat, pig, leopard, tiger, bear, hamster, mouse, rat, koala, squirrel, duck, whale","Fuck, cunt, dick, cock, bollocks, shit, crap"
"2022/10/06 6:11:46 pm CET","19","Woman","apple able adios address adam across amplify amplification archway arch after afterparty agenda alibi age aging ass asshole","giraffe ant anteater monkey ape gorilla dog cat gecko bunny fish guineapig hamster rat mouse  ferret gerbil rodent bug spider beetle horse pig cow goat","fuck fucking fucker fuckhead shit shitter shitting shithead arse arsehole cunt cunty cunter shiter prick twat feck fecker fecking shite bastard shitebag shitbag "
"2022/10/06 6:11:47 pm CET","23","Woman","Apple, and, as,  after, ass, asshole, ask, app, art","Dog, cat, giraffe, pigeon, squirrel, squid, cow, mouse, crocodile, snake, rat, bat, goat, wolf, duck, ","Fuck, shit, cunt, motherfucker, asshole, bitch, "
"2022/10/06 6:11:47 pm CET","17","Man","Ass
Arse
Asshole
Amy
Apple
Anal
Anally
Armadillo
Africa
Angry
Asian
Atlantic
Ape
Australia
Are
Ate 
Arthritis 
And 
All
Abs
Abdomen
Absinthe 
Aristocratic 
","Cheetah
Lion
Dog
Cat
Tiger
Mouse
Rat
Pig
Cow
Spider
Horse
Donkey
Dolphin
Bird
Shark
Fish
Whale
Ant
Ladybug
Caterpillar 
Butterfly
Worm
Stickinstect
","Cunt
Prick
Fuck
Shit
Bitch
Asshole
Whore
Dick
Cock
Fucking
Bastard
Bampot
Twat
"
"2022/10/06 6:11:47 pm CET","20","Nonbinary","asexual agender aromantic aromatic asteroid anger aggression activity action acts acts automatic adenosine aviation airplane airport ","swan panda bear koala cat dog horse chicken goose pigeon wolf moose deer oryx fish shark whale octopus squid crab ","fuck shit cunt motherfucker motherfucking hell fucking damn goddamn slut whore bitch coward sonofabitch "
"2022/10/06 6:11:47 pm CET","25","Woman","Arsehole,anteater, ant, arse, apple, alphabet, according accordion, accurate, actually, arrive","Tiger, parrots, penguins, dogs, cats, bats, mice, oranguatans, horses, ponies, sheepdogs, lizards, insects, foxes, birds, fish, sharks,","Fuck, cunt, arse, arsehole, wanker, tit, shit, dick, knobhead, fucking, shitting"
"2022/10/06 6:11:47 pm CET","21","Nonbinary","Anus and as anthropomorphism anthropology apathy asshole arse anticlimactic antarctic antibiotics ant apple ","Lizard elephant dog cat crocodile alligator kangaroo anteater whale shark goldfish spider pigeon ","Cockwidge cock cunt arse fuck shit bastard twat"
"2022/10/06 6:11:47 pm CET","24","Man","AEROPLANE AIR APPLE ANTMAN ANTI VILLAIN ANTAGONIST ARSE ARROGANT AMENABLE ALIEN ALLOWABLE ALLOCATE ALIAS AFFORDABLE AFRAID ASGARD ADMIT","LION TIGER WOLF FOX GORILLA CHIMPANZEE MONKEY CAT DOG RAT GIRAFFE ZEBRA RHINO","OHSHIT CUNT ARSE FUCK HOLYSHIT "
