"Timestamp","Age (in whole years)","Gender","Please write as many words as you can beginning with the letter ""A"".","Please write down as many different types of animal as you can.","Please write down as many swear words as you can."
"2024/03/20 2:08:25 pm GMT","22","Woman","Alice, Apple, ambiguous, and, are, ask, ace, ate, attic, around, Angel, angelic, and as, a, aptly apart","Lion, tiger, dog, cat, mouse, frog, hare, rabbit, snake, lizard, horse, cow, pig, goat","Fuck, shit, cunt, bollocks, "
"2024/03/20 2:08:32 pm GMT","31","Woman","Absolute, aardvark and are astute acute alert aware available abatement abandoned assistance assist assessment aseptic application aptitude appraisal applied ","Aardvark bear cat dog ferret gorilla tiger chicken chimpanzee chipmunk dingo rabbit rhinoceros leopard cheetah polarbear goldfish shark dolphin whale ","Fuck feck shit shite balls "
"2024/03/20 2:08:34 pm GMT","39","Man","Arm atom armchair android anything away asked awesome awareness awoken aperture ","Orangutan monkey dog kangaroo cat horse chimpanzee hippopotamus zebra lion tiger panther ","Shit fuck cunt bastard bumbaclaat arse arsehole motherfucker "
"2024/03/20 2:08:35 pm GMT","18","Woman","apple
architect
aspect
antler
algae
alternate
ageing
art","horse bee goat cat dog bird giraffe elephant toger lion sheep platypus pig panda","fuck shit ass cunt bitch crap "
"2024/03/20 2:08:35 pm GMT","19","Man","Auris, ass,asshole,audit,analyse,anal, and, arise, apply, answer,amend ","Lion,cat,dog,tiger, Pigeon,snake,spider,rat,mouse,monkey,gorilla, pig,snail, hamster, eagle, fish,shark","Fuck,shit,cunt,ass,asshole,minge,bastard,bitch,motherfucker, clit, pussy, dickhead,bellend, dumbass"
"2024/03/20 2:08:36 pm GMT","44","Man","","Elephant
Tiger
Ant 
Bear 
Cheetah
Armadillo
Iguana
Toucan
Sheep
Cow
Horse
Pig
Dog
Wolf
Chicken
Salmon
","Fuck
Shit
Piss
Cunt 
Bitch
Shithead
Dick 
Dickhead"
"2024/03/20 2:08:36 pm GMT","19","Nonbinary","Arse Ass Asshole area Apple airplane applesauce affect ","Panda redpanda bear fox bird eagle horse donkey snake lizard iguana crocodile alligator hare rabbit cat dog fish","Bitch bastard asshole cunt fuck dick jackass motherfucker "
"2024/03/20 2:08:36 pm GMT","46","Woman","Arm apple ","Tiger, beta fish, elephant cat dog ","Ass, Arse, Feck, fuck, shit, bollocks, Jesus, "
"2024/03/20 2:08:36 pm GMT","46","Man","Apple
Aardvark
Ant
Acetone
Acetylcholine
And
An
A
Androgen
Antidote
Atlantean
Antipodean
Assembly
Ass
Arse
","Tiger
Elephant
Ant
Bear
Dog
Cat
Giraffe
Horse
Rhino
Meercat
Lion
Hyena
Gerbil
Hamster
Rabbit
Mouse
Rat
","Fuck
Shit
Motherfucker
Cunt
Cock
Dick
Arsehole
Arse
Tits
Goddamn
Damn
Dipshit
Bollocks
Fucker
Prick
"
"2024/03/20 2:08:36 pm GMT","23","Nonbinary","Animal, anaphylaxis, anagram, assortment, anthropology, arcade","Dog, cat, monkey, shark, platypus, tiger, lion, zebra, ostrich, elephant, newt, lizard, jellyfish","Fuck, shit, motherfucker cunt, jesusfuckingchrist, "
"2024/03/20 2:08:36 pm GMT","20","Woman","Apple","Dog
Cat
Fish
Horse
Kangaroo
","Fuck
Shit
Bitch
Cunt
Piss
Pieceofshit
Godverdomme
Fucker
Whore

"
"2024/03/20 2:08:36 pm GMT","41","Man","And Arsenal Animal Are Action Activist According AIM Amulet Alms Aerial Aeroplane Arrow","Cat Dog Bear Fish Tiger Lion Cheetah Monkey Panther Ostrich Horse Goat Chicken Mouse Rat Goose Duck Sheep","Fuck Shit Shite Gobshite Cunt Arse Bloody Damn Feck Bollocks "
"2024/03/20 2:08:36 pm GMT","","","apple, ant, anniversary, arse, ass, acid, aniseed, annual, adversary, aunt, aviary, avid, afid","ant, bee, horse, dog, pig, hen, cock, cat, hlgiraffe, sloth, elephant, mongoose, goose, penguin, Eagle, canary, spider, snake, flamingo, donkey, ass, mule, camel, ","fuck, shit, shite, feck, cunt, ass, arse, arsehole, eejit, dick, fucker, "
"2024/03/20 2:08:37 pm GMT","48","Woman","Apple awkward analysis alphabet ambulance after at all angst anger ","Dog cat pig horse turtle mouse sheep elephant tiger zebra ","Feck fuck damn cunt fuckityfuck fuckoff bastard "
"2024/03/20 2:08:37 pm GMT","30","Woman","Apple aardvark and android arm always around asks about again against arrange appointments at ATM attention attends attempt ","Dog cat rabbit fish hamster guineapig pig cow goat goose duck wolf lamb fox ferret otter chicken rooster","Feck shit bitch asshole damn dickhead fuck fucking"
"2024/03/20 2:08:38 pm GMT","","Woman","Ash hole
Anteater 
Art
An
Able
All
Albeit
","Tiger
Dog
Cat
Mouse
Fish
Hamster
Monkey
Baboon
Giraffe
Zebra
Horse
Donkey
Cow
Sheep
Goat
Lizard
Whale
Shark
Whaleshark

","Fuck
Shit
Bitch
Bastard
Asshole
Fuckface
Crap
Piss
Shit
Shithole
Shite
Gobshite
Shitfaced
Pussy
"
"2024/03/20 2:08:38 pm GMT","37","Man","Apple, Alien, Astronaut, Anxiety, After, Always, Away.","Cat, Dog, Horse, Bird, Bat, Monkey, Zebra, Lion, Tiger, Bear, Mouse, Squirrel. ","Fuck, Cunt, Bollocks, Shit, Arse, JesusChrist, Bitch."
"2024/03/20 2:08:40 pm GMT","21","Woman","Animal actually as appetite appropriate all as any anyone anything anywhere android alphabet acronym apple ashes ash ally","Tiger pig lion dog cat monkey fish bird cow horse sheep goat chicken shark octopus squid seahorse algae ","Fuck ass bitch piss shit hell dick bastard cunt fucker bitchass "
"2024/03/20 2:08:42 pm GMT","","Woman","Answer age apple always again after as attention although","Dog cat rabbit goat pig cow sheep zebra giraffe elephant boar monkey gorilla koala chimpanzee","Feck fuck shit dammit damn pissoff "
"2024/03/20 2:10:31 pm GMT","59","Man","Ass aorplane","Cat dog fish","Fuvk cunt twat"
