"Timestamp","Age (in whole years)","Gender","Please write as many words as you can beginning with the letter ""A"".","Please write down the names of as many different animals as you can.","Please write down as many swear words as you can."
"2024/04/19 4:06:39 pm CET","36","Woman","Andrew and any angry Allison align ant answer ","Cat dog horse chimp kangaroo rabbit squirrel elephant ","Fuck dick cunt arsehole prick plonker "
"2024/04/19 4:06:40 pm CET","22","Woman","Apple","Cat dog zebra giraffe tiger lion panther flamingo rabbit ","Fuck bitch cunt "
"2024/04/19 4:06:41 pm CET","21","Woman","Anna 
Alphabet 
Awkward 
Adjacent 
Amazing
Access
Accident
Art 
Awful 
Awe","Sheep 
Cows 
Cats 
Dog 
Fish 
Horse 
Giraffe 
Guineapig 
Rabbit 
Dolphin 
Shark ","Shit 
Fuck 
Bastard 
Bitch 
Cunt 
Dick 
Piss 
Arsehole 
Shite"
"2024/04/19 4:06:41 pm CET","24","Woman","anaconda alphabet annual alice allow allocate animal ","dog cat rabbit bird snake frog fish shark spider bee fly mosquito ","shit fuck fucking ass asshole bitch prick dick idiot retard "
"2024/04/19 4:06:42 pm CET","29","Woman","Apple, angry, arrange, around, air, armour","Frog, goat, dog, cow, giraffe, sheep, hippo, chicken","Fuck, Bitch, Cunt, Areshole, Bawbag, Dickhead"
"2024/04/19 4:06:42 pm CET","28","Woman","Around 
And
About
Angle
Angel 
Animal 
Acting 
After 
","Swan
Cat
Dog
Bear 
Fish
Duck
Tiger 
Frog
Mouse 
Any
Bee
Spider 
Snake 
","Fuck 
Shit 
Bastard 
Arsehole
Cunt
Wanker
"
"2024/04/19 4:06:42 pm CET","45","Woman","Apple  ache appeal archery and ","Tiger zebra cow sheep monkey dog rabbit cat fish sheep lion horse","Fuck shit arse bollocks arsehole cunt crap bastard wank tits "
"2024/04/19 4:06:42 pm CET","22","Woman","Apple, alphabet, along, and, after, arm, account, across, acronym, all, ","Elephant, cat, dog, horse, fox, mouse, rat, bird, giraffe, zebra, ","Fuck, Fanny, dick, cunt, cow, fud, "
"2024/04/19 4:06:42 pm CET","","Woman","","Armadillo dog cat bird monkey fish terrapin horse giraffe hare rabbit ","Fuck shit bugger damn fucker "
"2024/04/19 4:06:42 pm CET","35","Woman","Arse apple algorithm ","Cat dog elephant bird hamster snake bear fox lamb cow rat pig duck giraffe","Fuck shit cunt bastard Fanny prick "
"2024/04/19 4:06:42 pm CET","22","Woman","Arsenal, arse antelope, amphibious","Elephant, horse, giraffe, dog, cat, badger antelope lion pomeranian tiger bears moles mice ","Fuck arse shit whore cunt bitch shite dick fanny"
"2024/04/19 4:06:42 pm CET","23","Woman","Apple 
Anna 
Alphabet 
Alpaca 
All 
Allowed 
Arse 
And 
Although 
","Dog 
Cat
Bird
Sheep 
Cow
Fish 
Horse
Hamster
Rabbit
Shark ","Fuck 
Shit 
Shite 
Arse 
Bastard
Cunt 
Twat 
Bitch 
"
"2024/04/19 4:06:42 pm CET","21","Woman","apple
alphabet 
arrange
a
at
atmosphere 
and 
are
alright
","pig
dog
cat
rabbit 
lion
panda
kolala 
flamingo
sheep
lamb
cow 
bird
lepord
","fuck
shit
shitebag
arsehole
cunt
"
"2024/04/19 4:06:42 pm CET","26","Woman","","cat
dog
elephant
cheetah
lion
bear 
penguin
bat
snake
","fuck 
shit
bitch
mothefucker
asshole
"
"2024/04/19 4:06:42 pm CET","21","Woman","Apple , agent, architect, art, artist, architecture","Cat dog frog koala, kangaroo, tiger lion, monkey mouse fox hamster pig ","Fuck shit bitch cunt areshole "
"2024/04/19 4:06:43 pm CET","56","Man","Arse animal angry anaesthetic aural apposite absolution apple altitude ant aunt ","Lion tiger puma leopard gazelle monkey giraffe dog cat ","Cunt fuck arse prick dick bastard bugger "
"2024/04/19 4:06:43 pm CET","27","Woman","Apple, ample, amplified, air, angst, appetite, appetite, appearance, ambition, amazing, all ,awful","Monkey, dog, cat, caterpillar, mouse, rat, bird, horse, seahorse, lion, leopard ","Fuck, shit, ass, asshole,  bitch, cunt, fucker, "
"2024/04/19 4:06:43 pm CET","36","Woman","Apple ","Giraffe monkey bear dog cat rabbit elephant shark","Arshole fuck bastard cunt fucking "
"2024/04/19 4:06:43 pm CET","21","Woman","apple and after actual aware await ass acquaint alpine audio","dog cat elephant tiger hamster cheetah mouse bird parrot horse pony kitten monkey ant bee","fuck ass shit bitch cunt arse dick cock whore "
"2024/04/19 4:06:43 pm CET","24","Woman","Apple ant any are alphabet asparagus aspirin ","Elephant dog tiger owl parrot hamster pig rabbit fish lion bear bee cat ","Fuck arsehole cunt bitch "
"2024/04/19 4:06:43 pm CET","29","Woman","Apple almond alphabet ","Monkey dog cat hamster lion tiger bat bird lizard snail snake ","Bitch fuck piss bastard shit "
"2024/04/19 4:06:43 pm CET","36","Woman","Apple, ankle, air, ","Giraffe, dog, cat, bear, bird, raccoon, pig, emu, chickens, ducks, cows","Fuck, shit, dick, tits, shag, fucker, dickhead, knobend, cunt "
"2024/04/19 4:06:43 pm CET","23","Woman","Armadillo, antihistamine, alcohol, allergy, alert, advert, arm, ask","Cat, dog, rat, rabbit, mouse, bird, parrot, hamster, pig, cow, horse, goat","Fuck, cunt, cock, dick, slut, whore"
"2024/04/19 4:06:43 pm CET","22","Woman","around 
Animal 
As 
Apple 
Amazon","Rhino 
Giraffe 
Cat 
Dog 
Horse 
Hippo
Tiger 
Lion
Elephant
Kangaroo 
Turtle 
Dolphin","Arsehole 
Fuck 
Cunt 
Shit 
Bastard 
Wanker
Dick "
"2024/04/19 4:06:43 pm CET","48","Woman","Animal
Alligator
Ant
Alphabet
Any
And
Age
Agent
Again
Against
","Ant
Alligator
Lion
Giraffe
Monkey
Tiger
Bull ","Fuck
Shit
Bastard
Bloody
Bitch"
"2024/04/19 4:06:43 pm CET","23","Nonbinary","Ask, Answer, absolute,abide, ace, air, airplane, airport, ambulance, absent","Giraffe, zebra, beagle, cat, kangaroo, elephant, hedgehog, cow, sheep, fox, bison","Fuck, tramp wanker bollock cunt shagger, arsehole, bastard, fuck, ass"
"2024/04/19 4:06:43 pm CET","34","Woman","Apple, apricot, April, appointment, apprentice, appreciate","Lion, giraffe, cheetah, chicken, horse, snail, dog, cat, whale, tiger","Fuck, shit, cock, bollocks"
"2024/04/19 4:06:43 pm CET","24","Woman","And, arch, ankle, apple, allergy","Giraffe, elephant, bear, dog, cat, horse, fish, raccoon","Fuck, shit, asshole, cunt, bitch, "
"2024/04/19 4:06:43 pm CET","21","Woman","Hgh","Dog  cat elephant tiger ant lizard kangaroo spider","Fuck cunt bitch whore slut skank dick dickhead"
"2024/04/19 4:06:43 pm CET","23","Woman","ailey 
alphabet 
apple
and 
are
associate 
almost 
ariana grande ","dog 
koala 
cat
cheetah 
cow
elephant 
giraffe 
zebra 
fish 
frog 
horse 
sheep 
pig ","shit 
fuck 
bitch 
whore 
slut 
cunt 
arsehole 
shitebag
wanker
tosser "
"2024/04/19 4:06:44 pm CET","22","Woman","Animal and analysis are also available at any age advent","Dog cat donkey fish horse rat rabbit hamster goldfish ","Fuck shit crap bullshit bitch cunt"
"2024/04/19 4:06:44 pm CET","27","Woman","Aula, América, aubergine, age","Caw, dog, cat, donkey, horse, giraffe, bear , lince, elephant, ","Fuck, he’ll, beatch "
"2024/04/19 4:06:44 pm CET","21","Woman","alphabet 
acorn
apple
article
angel
angle
anadote 
age
animal","giraffe 
shark
fish
gorilla
dog
cat
pig
horse
lemur
koala
sloth
rhino
tiger
","fuck
shit 
shite 
wanker
arsehole
bitch
skank
cunt
prick
bitch
"
"2024/04/19 4:06:44 pm CET","42","Man","Ass arsenal arse assassin a as alcohol after alter altar accept achoo","Cat dog tiger lion leopard lynx boar pig cow gazelle giraffe frog ","Fuck cunt fucker
Arse
Motherfucker shite"
"2024/04/19 4:06:44 pm CET","21","Woman","Apple Audi Android Andrew and a at all any anytime anything Amanda Amy annoying ","Any elephant anteater dolphin dog cat monkey zebra gorilla rhino ","Fuck shit dick wanker bitch bawbag cunt bastard arsehole ass fucker fucking twat shitface"
