munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent
A' Bhuidheanach Bheag,Cairngorms,936,Càrn na Caim and A' Bhuidheanach Bheag from Drumochter,https://www.walkhighlands.co.uk/cairngorms/carn-na-caim.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,6,19,824
A' Chailleach (Fannichs),Ullapool,997,Sgùrr Breac and a' Chailleach from near Braemore,https://www.walkhighlands.co.uk/ullapool/sgurrbreac.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,16,1127
A' Chailleach (Monadhliath),Cairngorms,930,"The Monadhliath Munros: a' Chailleach, Càrn Sgulain and Càrn Dearg from Glen Banchor",https://www.walkhighlands.co.uk/cairngorms/monadhliath.shtml,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,10,24.5,946
A' Chralaig,Kintail,1120,a' Chralaig and Mullach Fraoch Choire from Cluanie,https://www.walkhighlands.co.uk/kintail/Achralaig.shtml,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,8,14.5,1150
A' Ghlas-bheinn,Kintail,918,a' Ghlas Bheinn and the Falls of Glomach from Morvich,https://www.walkhighlands.co.uk/kintail/Aghlasbheinn.shtml,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,7,9,21,1196
A' Mhaighdean,Ullapool,967,"The Fisherfield 6, from Shenavall",https://www.walkhighlands.co.uk/ullapool/fisherfield-6.shtml,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,12,18,29,2254
A' Mharconaich,Cairngorms,975,Beinn Udlamain and Sgàirneach Mhòr,http://www.walkhighlands.co.uk/cairngorms/beinn-udlamain.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,7,15.75,783
Am Basteir,Isle of Skye,934,Am Basteir via the Bealach Basteir from Sligachan,https://www.walkhighlands.co.uk/skye/ambasteir.shtml,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,7,14,1175
Am Bodach,Fort William,1032,The Ring of Steall,https://www.walkhighlands.co.uk/fortwilliam/ringofsteall.shtml,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676
Am Faochagach,Ullapool,954,Am Faochagach from the Dirrie Mòr,https://www.walkhighlands.co.uk/ullapool/amfaochagach.shtml,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,6,14,700
An Caisteal,Loch Lomond,995,An Caisteal and Beinn a' Chròin from Glen Falloch,https://www.walkhighlands.co.uk/lochlomond/an-caisteal.shtml,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5.5,7,14,1045
An Coileachan,Ullapool,923,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435
An Gearanach,Fort William,982,The Ring of Steall,https://www.walkhighlands.co.uk/fortwilliam/ringofsteall.shtml,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,12,16,1676
