corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,bike,start_lat,start_lon,ascents,rating
Ainshval,781m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029,NA
Am Bathach,798m,NA,Ciste Dhubh and Am Bathach from Cluanie,https://www.walkhighlands.co.uk/kintail/Cistedhubh.shtml,5,7,12.5,1040,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.1596,-5.1647,2563,NA
An Dùn,827m,NA,An Dùn and Maol Creag an Loch via the Gaick Pass,https://www.walkhighlands.co.uk/perthshire/gaick-corbetts.shtml,9,10,28,959,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,56.8064,-4.093,838,NA
An Ruadh-stac,892m,NA,"An Ruadh-stac, from Coulags",https://www.walkhighlands.co.uk/torridon/an-ruadh-stac.shtml,5.5,7,15,1060,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.4498,-5.40741,1095,NA
An Sìdhean,814m,NA,An Sìdhean from the Loch Monar dam,https://www.walkhighlands.co.uk/lochness/an-sidhean.shtml,6,7,17,892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57.4097,-4.9917,573,NA
An Stac,814m,NA,Rois-bheinn round from Inverailort,https://www.walkhighlands.co.uk/fortwilliam/rois-bheinn.shtml,9,10,19,1649,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56.8733,-5.6689,914,NA
Aonach Buidhe,899m,NA,Aonach Buidhe via Glen Elchaig,https://www.walkhighlands.co.uk/kintail/aonach-buidhe.shtml,9,10,33,965,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,57.3169,-5.4221,498,NA
Aonach Shasuinn,888m,NA,"Càrn a' Choire Ghairbh and Aonach Shasuinn, Affric",https://www.walkhighlands.co.uk/lochness/affric-corbetts.shtml,9,10,24.5,1228,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,57.2649,-4.9853,605,NA
Arkle,787m,NA,Arkle from near Achfary,https://www.walkhighlands.co.uk/sutherland/arkle.shtml,6,7,17.5,880,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.3175,-4.9098,1176,NA
Askival,812m,NA,Rum Cuillin traverse,https://www.walkhighlands.co.uk/islands/rum-cuillin.shtml,12,14,21,1902,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,57.0134,-6.2815,1254,NA
