name,height_wh,height_dobih,height_diff
Ainshval,781,781,0
Am Bathach,798,798,0
An Dùn,827,827,0
An Ruadh-stac,892,892,0
An Sìdhean,814,814,0
An Stac,814,814,0
Aonach Buidhe,899,899,0
Aonach Shasuinn,888,888,0
Arkle,787,787,0
Askival,812,812,0
Auchnafree Hill,789,789,0
Bac an Eich,849,849,0
Baosbheinn,875,875,0
Beinn a' Bha'ach Ard,862,862,0
Beinn a' Bhuiridh,897,897,0
Beinn a' Chaisgein Mòr,856,856,0
Beinn a' Chaisteil (Auch),886,886,0
Beinn a' Chaisteil (Strath Vaich),788,787,1
Beinn a' Chlaidheimh,914,913.96,0.03999999999996362
Beinn a' Choin,770,768.7,1.2999999999999545
Beinn a' Chrùlaiste,857,857,0
Beinn a' Chuallaich,891,892,-1
Beinn Airigh Charr,791,792,-1
Beinn an Eoin,855,855,0
Beinn an Lochain,901,901.7,-0.7000000000000455
Beinn an Òir,785,785,0
Beinn Bhan,896,896,0
Beinn Bhan (Great Glen),796,796,0
Beinn Bheula,779,779,0
Beinn Bhreac,912,912.44,-0.44000000000005457
Beinn Bhreac-liath,802,802,0
Beinn Bhuidhe,855,855,0
Beinn Chaorach,818,818,0
Beinn Chuirn,880,880,0
Beinn Dàmh,903,903,0
Beinn Dearg (Glen Lyon),830,830,0
Beinn Dearg (Torridon),914,913.7,0.2999999999999545
Beinn Dearg Bheag,820,820,0
Beinn Dearg Mòr,910,906.28,3.7200000000000273
Beinn Dronaig,797,797,0
Beinn Each,813,813,0
Beinn Enaiglair,890,890,0
Beinn Iaruinn,803,805,-2
Beinn Lair,859,859,0
Beinn Leoìd,792,792,0
Beinn Liath Mhòr a' Ghiubhais Li,768,766,2
Beinn Loinne,790,789,1
Beinn Luibhean,858,858,0
Beinn Maol Chaluim,907,907,0
Beinn Mheadhonach,901,900.8,0.20000000000004547
Beinn Mhic Cedidh,783,783,0
Beinn Mhic Chasgaig,864,864,0
Beinn Mhic-Mhonaidh,796,796,0
Beinn Mholach,841,841.7,-0.7000000000000455
Beinn na Caillich,785,785,0
