Running No,DoBIH Number,Streetmap,Geograph,Hill-bagging,Name,SMC Section,RHB Section,_Section,Height (m),Height (ft),Map 1:50k,Map 1:25k,Grid Ref,GridRefXY,xcoord,ycoord,1953,1969,1974,1981,1984,1990,1997,Post 1997,Comment
1,1688,"http://www.streetmap.co.uk/newmap.srf?x=242756&y=585549&z=3&sv=242756,585549&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NX4275685549,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1688,Merrick,0,27B,27.2,843,2766,77,318,NX427855,NX4275685549,242756,585549,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
2,1691,"http://www.streetmap.co.uk/newmap.srf?x=242089&y=586952&z=3&sv=242089,586952&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NX4208986952,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1691,Kirriereoch Hill,0,27B,27.2,786.8,2581,77,318,NX420869,NX4208986952,242089,586952,CORBETT,CORBETT,CORBETT,CORBETT,,,,,
3,1689,"http://www.streetmap.co.uk/newmap.srf?x=249780&y=587068&z=3&sv=249780,587068&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NX4978087068,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1689,Corserine,0,27B,27.2,814,2671,77,318,NX497870,NX4978087068,249780,587068,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
4,1692,"http://www.streetmap.co.uk/newmap.srf?x=240762&y=590564&z=3&sv=240762,590564&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NX4076290564,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1692,Shalloch on Minnoch,0,27B,27.2,774.1,2540,77,318,NX407905,NX4076290564,240762,590564,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
5,1739,"http://www.streetmap.co.uk/newmap.srf?x=259464&y=597995&z=3&sv=259464,597995&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NX5946497995,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1739,Cairnsmore of Carsphairn,0,27C,27.3,797,2615,77,328S,NX594979,NX5946497995,259464,597995,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
6,1830,"http://www.streetmap.co.uk/newmap.srf?x=314642&y=623538&z=3&sv=314642,623538&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NT1464223538,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1830,Broad Law,0,28B,28.2,840,2756,72,330 336,NT146235,NT1464223538,314642,623538,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
7,1832,"http://www.streetmap.co.uk/newmap.srf?x=316320&y=615095&z=3&sv=316320,615095&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NT1632015095,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1832,White Coomb,0,28B,28.2,821,2694,79,330,NT163150,NT1632015095,316320,615095,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
8,1831,"http://www.streetmap.co.uk/newmap.srf?x=316845&y=624740&z=3&sv=316845,624740&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NT1684524740,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1831,Cramalt Craig,0,28B,28.2,830.2,2724,72,336,NT168247,NT1684524740,316845,624740,CORBETT,CORBETT,CORBETT,CORBETT,,,,,
9,1835,"http://www.streetmap.co.uk/newmap.srf?x=311365&y=613575&z=3&sv=311365,613575&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NT1136513575,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=1835,Hart Fell,0,28B,28.2,808,2651,78,330,NT113135,NT1136513575,311365,613575,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
10,2,"http://www.streetmap.co.uk/newmap.srf?x=274441&y=736853&z=3&sv=274441,736853&st=4&tl=~&bi=~&lu=N&ar=y",http://www.geograph.org.uk/gridref/NN7444136853,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2,Creagan na Beinne,1,01A,1.1,888,2913,51 52,OL48E 378E,NN744368,NN7444136853,274441,736853,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,CORBETT,
