StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q4_45,Q4_46,Q4_47,Q4_48,Q4_49,Q4_50,Q4_51,Q4_52,Q4_53,Q4_54,Q4_55,Q4_56,Q4_57,Q4_58,Q4_59,Q4_60,Q6,Q7,Q7_3_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"I have read the Information Form for participants and so understand the procedures and have been informed about what to expect;
	I agree to participate in this study which aims to investigate personality differences
	I understand that my participation in this study is voluntary, and that I can withdraw from the study, at any time and for any reason, without having to give a reason to the researcher by closing the browser window;
	I understand that I may omit any questions that I would prefer not to answer;
	I understand that my participation in this project is for the purposes of research, and is in no way an evaluation of me as an individual;
	I understand that any information recorded will be made and kept anonymous and no information that identifies me will be made publicly available;
	I understand that I can contact the researcher(s) for this project; by e-mail to receive more information and/or a summary of the anonymised group results

I have read the above and consent to take part in this study:",Which team are you providing data for? You should be able to find their PR number and team name on the advert.,"Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is outgoing, sociable","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is compassionate, has a soft heart.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Tends to be disorganized.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is relaxed, handles stress well.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has few artistic interests.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has an assertive personality.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is respectful, treats others with respect.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Tends to be lazy.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Stays optimistic after experiencing a setback.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is curious about many different things.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Rarely feels excited or eager.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Tends to find fault with others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is dependable, steady.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is moody, has up and down mood swings.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is inventive, finds clever ways to do things.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Tends to be quiet.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Feels little sympathy for others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is systematic, likes to keep things in order.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Can be tense.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is fascinated by art, music, or literature.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is dominant, acts as a leader.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Starts arguments with others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has difficulty getting started on tasks.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Feels secure, comfortable with self.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Avoids intellectual, philosophical discussions","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is less active than other people.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has a forgiving nature.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Can be somewhat careless.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is emotionally stable, not easily upset.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has little creativity.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is sometimes shy, introverted.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is helpful and unselfish with others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Keeps things neat and tidy.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Worries a lot.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Values art and beauty.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Finds it hard to influence people.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is sometimes rude to others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is efficient, gets things done.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Often feels sad.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is complex, a deep thinker.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is full of energy","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is suspicious of others’ intentions.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is reliable, can always be counted on.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Keeps their emotions under control.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has difficulty imagining things.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is talkative.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Can be cold and uncaring.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Leaves a mess, doesn’t clean up.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Rarely feels anxious or afraid.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Thinks poetry and plays are boring.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Prefers to have others take charge.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is polite, courteous to others.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is persistent, works until the task is finished.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Tends to feel depressed, blue.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Has little interest in abstract ideas.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Shows a lot of enthusiasm.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Assumes the best about people.","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Sometimes behaves irresponsibly","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is temperamental, gets emotional easily","Here are a number of characteristics that may or may not apply to you. For example, do you agree that you are
someone who likes to spend time with others? Please select an answer next to each statement to indicate the extent
to which you agree or disagree with that statement.
I am someone who... - Is original, comes up with new ideas.",What is your age in whole years?,Which of the following best describes your gender? - Selected Choice,"Which of the following best describes your gender? - If you describe your gender with another term, please list this here - Text",What is your sexual orientation? - Selected Choice,"What is your sexual orientation? - If you describe your sexual orientation with another term, please list this here - Text",How many siblings do you have?,"What was your birth order? For example, if you were the first child to be born or adopted in your family, enter 1. If you were the second child to be born or adopted, enter 2, and so on.","Neurodivergent is an umbrella term for an evolving list of diagnoses that reflect different neurotypes. Usually referring to autism, ADHD, and specific learning differences like dyslexia, dyspraxia, dyscalculia and more. Do you identify as neurodivergent?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID14""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_22""}","{""ImportId"":""QID4_23""}","{""ImportId"":""QID4_24""}","{""ImportId"":""QID4_25""}","{""ImportId"":""QID4_26""}","{""ImportId"":""QID4_27""}","{""ImportId"":""QID4_28""}","{""ImportId"":""QID4_29""}","{""ImportId"":""QID4_30""}","{""ImportId"":""QID4_31""}","{""ImportId"":""QID4_32""}","{""ImportId"":""QID4_33""}","{""ImportId"":""QID4_34""}","{""ImportId"":""QID4_35""}","{""ImportId"":""QID4_36""}","{""ImportId"":""QID4_37""}","{""ImportId"":""QID4_38""}","{""ImportId"":""QID4_39""}","{""ImportId"":""QID4_40""}","{""ImportId"":""QID4_41""}","{""ImportId"":""QID4_42""}","{""ImportId"":""QID4_43""}","{""ImportId"":""QID4_44""}","{""ImportId"":""QID4_45""}","{""ImportId"":""QID4_46""}","{""ImportId"":""QID4_47""}","{""ImportId"":""QID4_48""}","{""ImportId"":""QID4_49""}","{""ImportId"":""QID4_50""}","{""ImportId"":""QID4_51""}","{""ImportId"":""QID4_52""}","{""ImportId"":""QID4_53""}","{""ImportId"":""QID4_54""}","{""ImportId"":""QID4_55""}","{""ImportId"":""QID4_56""}","{""ImportId"":""QID4_57""}","{""ImportId"":""QID4_58""}","{""ImportId"":""QID4_59""}","{""ImportId"":""QID4_60""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_3_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}"
10/12/2021 11:33,10/12/2021 11:34,1,100,46,1,10/12/2021 11:34,R_11cOTgEuVRktnkZ,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/01/2022 09:27,05/01/2022 09:45,0,100,1114,1,05/01/2022 09:45,R_5A6g0eNwRyuYyop,anonymous,EN,1,,3,5,4,1,5,2,5,2,2,5,2,3,3,4,4,4,1,4,5,4,2,4,5,2,2,3,5,1,1,2,5,4,4,5,4,2,1,4,5,4,2,4,4,2,2,4,1,1,1,2,3,5,2,5,2,4,5,1,5,3,18,2,,1,,2,1,5
05/01/2022 10:47,05/01/2022 10:51,0,100,216,1,05/01/2022 10:51,R_1GTg9dQBP0i6948,anonymous,EN,1,,5,5,4,5,1,3,5,5,3,5,1,2,5,2,4,1,1,5,2,5,4,1,3,5,1,4,4,4,5,1,2,5,5,2,5,1,2,4,2,5,5,1,5,4,1,5,1,1,1,1,2,5,4,1,1,5,5,4,2,5,21,2,,2,,5,5,1
05/01/2022 14:17,05/01/2022 14:22,0,100,269,1,05/01/2022 14:22,R_24ABRTVr2DyDczC,anonymous,EN,1,,4,5,2,1,2,2,5,2,2,5,2,1,4,1,4,4,1,5,5,3,1,1,2,2,1,4,5,2,1,1,5,5,5,5,5,4,1,5,5,4,1,2,5,2,4,4,1,1,1,5,4,5,5,4,2,4,5,2,1,4,27,2,,1,,2,2,1
05/01/2022 16:22,05/01/2022 16:25,0,100,171,1,05/01/2022 16:25,R_8dgoi91c3mKJpvj,anonymous,EN,1,,5,2,4,4,5,4,3,3,2,5,2,3,5,4,2,1,3,2,2,1,1,1,4,1,2,1,3,3,1,2,1,3,1,5,1,2,4,3,5,5,4,2,5,2,2,5,5,4,1,5,5,3,2,5,1,5,2,4,2,2,18,2,,1,,2,1,1
06/01/2022 06:24,06/01/2022 06:27,0,100,172,1,06/01/2022 06:27,R_2908MnWTwdDOlxg,anonymous,EN,1,,5,5,4,2,1,4,4,3,2,5,1,5,3,4,4,1,2,3,4,5,4,2,4,3,3,3,3,5,2,2,3,4,2,4,4,3,4,2,4,5,2,3,3,1,2,5,2,3,1,4,4,2,2,4,2,5,3,4,4,3,19,2,,2,,3,1,1
06/01/2022 07:04,06/01/2022 07:09,0,100,314,1,06/01/2022 07:09,R_3dRGmEAJ197SJUI,anonymous,EN,1,,4,3,2,2,1,2,4,4,2,4,2,2,4,2,3,3,2,4,4,4,2,1,2,5,4,2,4,4,2,2,4,3,3,4,4,3,3,4,2,4,4,4,4,4,2,4,2,3,3,2,4,4,4,2,2,4,4,3,2,2,18,1,,3,,1,2,1
06/01/2022 16:18,06/01/2022 16:26,0,100,517,1,06/01/2022 16:26,R_3Rym6u5mnyehuxm,anonymous,EN,1,,2,2,2,3,4,2,2,3,2,4,4,4,3,4,4,5,4,5,3,4,2,5,5,3,4,4,1,4,1,4,5,2,5,5,3,2,3,4,5,3,1,4,3,1,5,1,5,1,2,1,4,2,5,4,4,2,1,2,4,2,18,2,,1,,0,1,1
