Timestamp,Age (in whole years),Gender,"Please write as many words as you can beginning with the letter ""A"".",Please write down as many different types of animal as you can.,Please write down as many swear words as you can.
2024/02/28 6:17:42 pm GMT,21,Woman,Apple Abbie Absolute Arachnid arachnophobia And at all ages are aware awful aspects associated assumptions assuming aim aiming advanced ,Dog cat hamster shark dolphin monkey octopus fish jellyfish wolf leopard tiger lion guineapig chinchilla chicken cow pig rabbit ,Fuck shit cunt bollocks fucking prick arsehole fucker 
2024/02/28 6:17:55 pm GMT,18,Woman,"Apple, app, ape, and, art, artist, await, ","Fox, dog, cat, parrot, giraffe, hedgehog, panda, kangaroo, bird, salmon","Fuck, shit, ass, cunt, "
2024/02/28 6:17:55 pm GMT,23,Woman,Apple answer anything asshole Arabia alarm antisocial anticipation antibiotics ,Dog cat duck giraffe lion elephant zebra chicken snail rabbit mouse bird fish tiger horse cow donkey fly dolphin ,Asshole shit fuck cunt dickhead dumbass 
2024/02/28 6:17:55 pm GMT,21,Woman,Alphabet acorn acute abdominal abscess absolutely also admin Apple angry aggravated aid Akin advert and at android American alive ,Deer dog cat goldfish shark dolphin pirhana beetle monkey human ape chimpanzee ferret rat mouse ant hummingbird whale rhino giraffe lion tiger bear,Fuck shit ass arse cunt dick bitch biatch cocksucker cock arsehole 
2024/02/28 6:17:55 pm GMT,21,Woman,,Dog cat frog elephant horse bear fix bird cow sheep rabbit lion tiger beaver hedgehog ,Fuck shit cunt bitch 
2024/02/28 6:17:55 pm GMT,22,Woman,"Any,, ant, and, ass, abdominal, Alabama, Alaska, antelope, anteater angry agony ","Bat, cat, pig antelope ant dog flamingo penguin ostrich whale dolphin clownfish pufferfish giraffe zebra ",Stupid fuck bitch cunt asshhole ass dipshit idiot
2024/02/28 6:17:55 pm GMT,18,Man,"Anger, animal, ape, apricot apple arrange analyse annoyed abundant ankle able","Cat
Dog
Elephant
Gorilla
Hamster
Fox
Deer
Horse
Baboon
Chimpanzee
Butterfly
Moth
Spider
Otter
Beaver
Salmon
","Arsehole
Bastard
Cunt
Dickhead
Fuck
Whore
Faggot 
Slut
Cock
Bitch
Munter
"
2024/02/28 6:17:56 pm GMT,23,Man,"Abdicate, aardvark, ant, about, astrology, astronomy, acquiesce, auld, apple","Cat, dog, lizard, anteater, giraffe, snake, fly, fish, shark, whale, manatee, seagull, pelican, albatross, goldeneagle, baldeagle, barnowl, bear, blackbear, sunbear, ","Ass, fuck, shit, asshole, motherfucker, fuck(Dutch), puta, mean, bitch, slut, whore, cum, dumbass, "
2024/02/28 6:17:56 pm GMT,18,Woman,"Animal, allied, ally, alley, ants,
And
Any
Ant
Army 
Armies 
Are 
Ate
Ache
Aches
","Elephant 
Ant
Monkey 
Giraffe 
Dog
Cat
Mouse
Pigeon
Bird
Hawk
Chicken 
Horse
Otter
Lion
Leopard
Zebra 
Anteater 
Bear
Polarbear
Duck
","Fuck shit dick bitch shite 
cunt whore 
Bastard 
Cock 
faggot
Slut 
Slag 
"
2024/02/28 6:17:56 pm GMT,20,Woman,"Apple, angel, angel, articulate, artificial arithmetic alphabet appetizer antique age Luc awesome awkward atrocious auspices autocorrect automatic",Dog dolphin elephant ostrich bird pig cow duck geese seal sealion tiger whale shark stingray leopard giraffe rhino hippo mouse rat snail slug bee fly dog cat fish lizard snake,Fuck shit bitch ass asshole cunt dick motherfucker damn bastard whore 
