munro,height_wh,height_dobih,height_diff,region,xcoord,ycoord,grid_ref,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,first_route_title,site_key,time,scramble_exposed,wet
Conival,987,987,0,Ullapool,230330,919938,NC303199,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8.5,10,17.25,1077,Ben More Assynt and Conival from Inchnadamph,NC303199,9.25,Scramble,Boggy
Ben More Assynt,998,998,0,Ullapool,231830,920150,NC318201,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8.5,10,17.25,1077,Ben More Assynt and Conival from Inchnadamph,NC318201,9.25,Scramble,Boggy
Ben Hope,927,927,0,Sutherland,247750,950151,NC477501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,7.5,946,Ben Hope from Strathmore,NC477501,5,Neither,Neither
Ben Klibreck,961,962.1,1.1000000000000227,Sutherland,258530,929921,NC585299,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,7,14.25,930,Ben Klibreck from Strath Vagastie,NC585299,6,Neither,Boggy
Sgùrr na Banachdich,965,965,0,Isle of Skye,144046,822448,NG440224,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,7,7.5,936,Sgùrr na Banachdich via Coire nan Eich,NG440224,6,Scramble,Neither
Inaccessible Pinnacle,986,985.8,0.20000000000004547,Isle of Skye,144404,821564,NG444215,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,6,8,8,1065,Sgùrr Dearg and the approach to the Inn Pinn,NG444215,7,Both,Neither
Sgùrr a' Ghreadaidh,973,972.1,0.8999999999999773,Isle of Skye,144525,823126,NG445231,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6,8,9.5,997,Sgùrr a Ghreadaidh and Sgùrr a Mhadaidh via An Dorus,NG445231,7,Both,Neither
Sgùrr a' Mhadaidh,918,918,0,Isle of Skye,144700,823512,NG447235,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6,8,9.5,997,Sgùrr a Ghreadaidh and Sgùrr a Mhadaidh via An Dorus,NG447235,7,Both,Neither
Sgùrr Alasdair,992,992,0,Isle of Skye,145000,820783,NG450207,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,9.5,992,Sgùrr Alasdair via the Great Stone Chute,NG450207,5.5,Scramble,Neither
Sgùrr Mhic Chòinnich,948,948.1,0.10000000000002274,Isle of Skye,145020,821043,NG450210,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,6,11,950,Sgùrr Mhic Chòinnich from Coire Lagan,NG450210,5.5,Both,Neither
Sgùrr nan Eag,924,926.3,2.2999999999999545,Isle of Skye,145705,819536,NG457195,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159,Southern Cuillin and Coire Ghrunnda,NG457195,9,Scramble,Neither
Sgùrr Dubh Mòr,944,944,0,Isle of Skye,145758,820547,NG457205,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159,Southern Cuillin and Coire Ghrunnda,NG457205,9,Scramble,Neither
Bruach na Frìthe,958,958.8,0.7999999999999545,Isle of Skye,146085,825198,NG460251,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,7,14,1175,Am Basteir,NG460251,6.5,Both,Neither
Am Basteir,934,934,0,Isle of Skye,146564,825302,NG465253,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,6,7,14,1175,Am Basteir via the Bealach Basteir from Sligachan,NG465253,6.5,Both,Neither
Sgùrr nan Gillean,964,966.1,2.1000000000000227,Isle of Skye,147157,825296,NG471252,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5,7,12,985,Sgùrr nan Gillean via the Southeast Ridge (Tourist Route),NG471252,6,Both,Neither
Blà Bheinn,928,929,1,Isle of Skye,152990,821743,NG529217,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,990,Blà Bheinn via the normal route from Loch Slapin,NG529217,5.5,Scramble,Neither
Ladhar Bheinn,1020,1020,0,Fort William,182400,803983,NG824039,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,12,22.5,1399,"Ladhar Bheinn circuit via Aonach Sgoilite, from Inverie",NG824039,10.5,Both,Boggy
Beinn Sgritheall,974,974,0,Kintail,183588,812682,NG835126,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,6,10,1095,Beinn Sgritheall from Arnisdale,NG835126,5,Neither,Boggy
Tom na Gruagaich,922,922,0,Torridon,185958,860153,NG859601,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7,8,10.5,1190,Beinn Alligin ridge traverse,NG859601,7.5,Scramble,Neither
Sgùrr Mòr,986,986,0,Torridon,186565,861270,NG865612,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,7,8,10.5,1190,Beinn Alligin ridge traverse,NG865612,7.5,Scramble,Neither
Luinne Bheinn,939,939,0,Fort William,186979,800740,NG869007,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,11,13,27,1586,Luinne Bheinn and Meall Buidhe from Inverie,NG869007,12,Scramble,Boggy
Mullach an Rathain,1023,1023.8,0.7999999999999545,Torridon,191188,857689,NG911576,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,8,10,11.5,1326,"Liathach traverse, Glen Torridon",NG911576,9,Both,Neither
Maol Chean-dearg,933,933,0,Torridon,192406,849911,NG924499,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,7,14,932,Maol Chean-dearg from Coulags,NG924499,6,Neither,Neither
