munro,region,height,first_route_title,first_route_url,scramble,exposed,spate,bog,river,arete,time_hours_min,time_hours_max,distance_km,ascent,toilet,pub,deer_fence,car_park,bothy
Sgòrr Dhearg (Beinn a' Bheithir),Fort William,1024,Beinn a' Bheithir via Schoolhouse Ridge,https://www.walkhighlands.co.uk/fortwilliam/beinnabheithir.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387,TRUE,TRUE,FALSE,TRUE,FALSE
Sgòrr Dhònuill (Beinn a' Bheithir),Fort William,1001,Beinn a' Bheithir via Schoolhouse Ridge,https://www.walkhighlands.co.uk/fortwilliam/beinnabheithir.shtml,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,7,9,15.5,1387,TRUE,TRUE,FALSE,TRUE,FALSE
Stob Coire Raineach (Buachaille Etive Beag),Fort William,925,Buachaille Etive Beag,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivebeag.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900,FALSE,FALSE,FALSE,TRUE,FALSE
Stob Dubh (Buachaille Etive Beag),Fort William,956,Buachaille Etive Beag,https://www.walkhighlands.co.uk/fortwilliam/buachailleetivebeag.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,8,900,FALSE,FALSE,FALSE,TRUE,FALSE
An Coileachan,Ullapool,923,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,FALSE,FALSE,FALSE,TRUE,FALSE
Beinn Liath Mhòr Fannaich,Ullapool,954,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,FALSE,FALSE,FALSE,TRUE,FALSE
Meall Gorm,Ullapool,949,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,FALSE,FALSE,FALSE,TRUE,FALSE
Sgùrr Mòr,Ullapool,1110,Sgùrr Mòr and the eastern Fannichs,https://www.walkhighlands.co.uk/ullapool/fannichs.shtml,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,24.75,1435,FALSE,FALSE,FALSE,TRUE,FALSE
Sgùrr Dubh Mòr,Isle of Skye,944,Southern Cuillin and Coire Ghrunnda,https://www.walkhighlands.co.uk/skye/sgurrnaneag.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159,TRUE,FALSE,FALSE,FALSE,FALSE
Sgùrr nan Eag,Isle of Skye,924,Southern Cuillin and Coire Ghrunnda,https://www.walkhighlands.co.uk/skye/sgurrnaneag.shtml,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,11,15,1159,TRUE,FALSE,FALSE,FALSE,FALSE
Càrn a' Ghèoidh,Cairngorms,975,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,FALSE,FALSE,FALSE,TRUE,FALSE
Càrn Aosda,Cairngorms,917,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,FALSE,FALSE,FALSE,TRUE,FALSE
The Cairnwell,Cairngorms,933,The Cairnwell Munros,https://www.walkhighlands.co.uk/cairngorms/cairnwell.shtml,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,6,13,595,FALSE,FALSE,FALSE,TRUE,FALSE
Càrn a' Choire Bhòidheach,Cairngorms,1118,"White Mounth Munros, Glen Muick",https://www.walkhighlands.co.uk/cairngorms/white-mounth.shtml,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,9,11,29,1228,TRUE,FALSE,FALSE,TRUE,FALSE
