corbett,region,height,first_route_title,first_route_url,time_hours_min,time_hours_max,distance_km,ascent,scramble,exposed,spate,bog,river,pathless,toilet,bothy,pub,car_park,deer_fence,cow,ascents,rating
Ainshval,781m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1009,NA
Am Bathach,798m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2536,NA
An Dùn,827m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,829,NA
An Ruadh-stac,892m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1091,NA
An Sìdhean,814m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,562,NA
An Stac,814m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,908,NA
Aonach Buidhe,899m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,490,NA
Aonach Shasuinn,888m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,599,NA
Arkle,787m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1165,NA
Askival,812m,NA,Isle of Bute,https://www.walkhighlands.co.uk/argyll/isle-of-bute.shtml,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1232,NA
